fund,start_year,end_year,beneficiary_name,project_name,total_amount,county
ERDF,,2012,Leitrim CEB,Sectoral Supports 2012 (M2),15000,
ERDF,,2012,Leitrim CEB,Leitrim Business Network 2012 (M2),9082.5,
ERDF,,2012,Leitrim CEB,Mediation Skills Training 2012 (M2),525,
ERDF,,2012,Leitrim CEB,Manual Handling Training 2012 (M2),2642,
ERDF,,2012,Leitrim CEB,Web Training 2012 (M2),1120,
ERDF,,2012,Leitrim CEB,Occupational First Aid 2012 (M2),13789.83,
ERDF,,2012,Leitrim CEB,Student Enterprise Awards 2012 (M2),14786.88,
ERDF,,2012,Leitrim CEB,National Enterprise Awards 2012 (M2),4640.75,
ERDF,,2012,Leitrim CEB,Business Information Seminars 2012 (M2),5470.25,
ERDF,,2012,Leitrim CEB,Enterprise Expo / ICE Week 2012 (M2),15144.11,
ERDF,,2012,Leitrim CEB,Sales & Marketing 2012 (M20,4845,
ERDF,,2012,Leitrim CEB,Computerised Accounts Tas Books 2012 (M2),2250,
ERDF,,2012,Leitrim CEB,Effective Enterprise Management 2012 (M2),10893,
ERDF,,2012,Leitrim CEB,Financial Management Training 2012(M2),4584,
ERDF,,2012,Leitrim CEB,HACCP 2012 (M2),4075,
ERDF,,2012,Leitrim CEB,Mentor Support 2012 (M2),52263.51,
ERDF,,2012,Michelle O’Donnell,Michelle O’Donnell Special Stitches/BP,7910,
ERDF,,2012,MRD Ltd,MRD Ltd/FIG,4800,
ERDF,,2012,North West Marketing Co. Ltd.,North West Marketing Co. Ltd/BE,20815,
ERDF,,2012,Sign Warehouse,Sign Warehouse/BE,7000,
ERDF,,2012,Surf Seeds,Surf Seeds/BE,3863,
ERDF,,2012,Yvonne Hollidge T/A Creative Cheese Works,Yvonne Hollidge T/A Creative Cheese Works/BP,7975,
ERDF,,2012,Business Networking Event,Business Networking Event/M2,639,
ERDF,,2012,Carrigy Coach Hire,Carrigy Coach Hire/BE,2500,
ERDF,,2012,Clonard Exec Mgt,Clonard Exec Mgt/BP,6000,
ERDF,,2012,Comss,Comss/BE,30000,
ERDF,,2012,Conor Tuite,Conor Tuite/BP,2500,
ERDF,,2012,Crossan Cablecomm,Crossan Cable/BE,14984,
ERDF,,2012,Cyril & Lorraine Farrar,Cyril & Lorraine Farrar/BP,7000,
ERDF,,2012,Eamon Glennon Ltd,Eamon Glennon Ltd/BE,10000,
ERDF,,2012,F White Electrical,F White Electrical/BE,6000,
ERDF,,2012,Frank McGann,Mactek/BP,5000,
ERDF,,2012,GNA Analytical,GNA Analytical/BE,14000,
ERDF,,2012,Irish Netting Systems,Irish Netting Systems/BE,10000,
ERDF,,2012,Longford Expo,Longford Expo/M2,10660.02,
ERDF,,2012,Marmike Developments,Marmike Developments/BP,15000,
ERDF,,2012,,,0,
ERDF,,2012,Motiv8 Solutions,Motiv8/BP,20000,
ERDF,,2012,Opinade Ltd.,Opinade/BE,10000,
ERDF,,2012,Panelto Foods,Panelto Foods,27265.91,
ERDF,,2012,Procurement Study,Procurement Project/M2h/48,1353,
ERDF,,2012,Purple Decks,Purple Decks/BP,6000,
ERDF,,2012,ROS,ROS/M2,1269.66,
ERDF,,2012,Stonesurfaces,Stonesurfaces/BE,18000,
ERDF,,2012,Stonesurfaces,Stonesurfaces/BE,12000,
ERDF,,2012,Sunsoft Ltd.,Sunsoft Ltd./BE,19475,
ERDF,,2012,Survive & Thrive,Survive & Thrive Programme/M2,5451.5,
ERDF,,2012,The Speech & Language Centre,The Speech & Language Centre/BP,8000,
ERDF,,2012,Waveware,Waveware/BE,15000,
ERDF,,2012,Bammedia,Bammedia/BE,7300.51,
ERDF,,2012,Boyne Valley Honey,Boyne Valley Honey,13042,
ERDF,,2012,Calipo Theatre Company,Calipo Theatre Company/BE,4570.04,
ERDF,,2012,Carlingford & Mourne Region Ltd,Carlingford & Mourne Region Ltd/BP,7500,
ERDF,,2012,Cathal Johnson Harmonicas,Cathal Johnson Harmonicas/BP,597.23,
ERDF,,2012,Eirscan,Eirscan/Feas,2621.35,
ERDF,,2012,Emer Conlon,Emer Conlon/BP/REF,10000,
ERDF,,2012,Greenore Greencastle Community Ltd,Greenore Greencastle Community Ltd/Feas,6977.45,
ERDF,,2012,Halpin Sport,Halpin Sport/BP,7500,
ERDF,,2012,HJ Heinz Frozen and Chilled Foods Ltd,HJ Heinz Frozen and Chilled Foods Ltd,138729.51,
ERDF,,2012,Irish Home Made Preserves,Irish Home Made Preserves/BP,4919.3,
ERDF,,2012,Irish Youth Opera Ltd,Irish Youth Opera Ltd/Feas,2487.01,
ERDF,,2012,Louth Co Enterprise Board,Training/ Maximising Tradeshows,6682,
ERDF,,2012,Louth Co Enterprise Board,Training/ Sales & Marketing,200,
ERDF,,2012,Louth Co Enterprise Board,CEB Programmes/Network Louth,7689.1,
ERDF,,2012,Louth Co Enterprise Board,Training/Accelerate SS,21487.73,
ERDF,,2012,Louth Co Enterprise Board,Training/Book Keeping,700,
ERDF,,2012,Niamh O Neill,Niamh O Neill/BP,7500,
ERDF,,2012,Paddy McGlade,Paddy McGlade/FEAS,4000,
ERDF,,2012,Paddy McGlade,Paddy McGlade/FEAS,5000,
ERDF,,2012,Peak Performance Recruitment Ltd,Peak Performance Recruitment Ltd/BE,12500,
ERDF,,2012,Precision Nutrition Ltd,Precision Nutrition Ltd/BE,14886.44,
ERDF,,2012,Ronan McDonnell,Ronan McDonnell/FEAS,5000,
ERDF,,2012,Shredbar Ltd,Shredbar Ltd/Feas,5000,
ERDF,,2012,Slender Choice Ltd,Slender Choice Ltd/BP,7500,
ERDF,,2012,Slender Choice Ltd,Slender Choice Ltd/BE,7500,
ERDF,,2012,Stephen Ward Development Consultancy,Stephen Ward Development Consultancy/BE,7500,
ERDF,,2012,Terry McElvaney,Terry McElvaney/Feas,1716.6,
ERDF,,2012,The Plantfiles Ltd,The Plantfiles Ltd/BP,15000,
ERDF,,2012,Total Produce Ireland Ltd,Total Produce Ireland Ltd,23357.75,
ERDF,,2012,Walking Holiday Ireland,Walking Holiday Ireland /Feas,4196.02,
ERDF,,2012,Wizzard Innovations,Wizzard Innovations/BP,9967.9,
ERDF,,2012,Andrew Pelham Burn B/E,Andrew Pelham Burn B/E,5000,
ERDF,,2012,Baxter Healthcare SA,Baxter Healthcare SA,63866.95,
ERDF,,2012,Courthill Foods,Courthill Foods P/G,3595,
ERDF,,2012,Crean Kitchens P/G,Crean Kitchens P/G,7500,
ERDF,,2012,Eirewood P/G,Eirewood P/G,5749.96,
ERDF,,2012,Harvest Moon P/G,Harvest Moon P/G,6000,
ERDF,,2012,James O Gorman B/E,James O Gorman B/E,12714.58,
ERDF,,2012,John McNamara P/G,John McNamara P/G,7500,
ERDF,,2012,Just Deserts B/E,Just Deserts B/E,10000,
ERDF,,2012,Kieran Finn P/G,Kieran Finn P/G,7413.5,
ERDF,,2012,Mayo CEB,Student Enterprise Programme,21645,
ERDF,,2012,Mayo CEB,Meetwest Event,10080,
ERDF,,2012,Mayo CEB,Computerised Training programme,5963,
ERDF,,2012,Mayo CEB,Managing your finance training programme,8814.84,
ERDF,,2012,Mayo CEB,One to One Mentoring,40889.53,
ERDF,,2012,Mayo CEB,Business Training Workshops,9987.5,
ERDF,,2012,Mayo CEB,Marketing training programmes,34634.05,
ERDF,,2012,Mayo CEB,E Commerce Support,13571.11,
ERDF,,2012,Mayo CEB,Support for Business Networks,5350,
ERDF,,2012,Mayo CEB,Marketing support,9199.89,
ERDF,,2012,Mayo CEB,Management Development Training,40337.25,
ERDF,,2012,Mayo CEB,In Company training support,13119.57,
ERDF,,2012,Mohammed Cherbatji B/E,Mohammed Cherbatji B/E,31951.24,
ERDF,,2012,P23 / Rory Staunton,P23 / Rory Staunton F/S,10000,
ERDF,,2012,Pat Lyons t/a Pliosense P/G,Pat Lyons t/a Pliosense P/G,5848,
ERDF,,2012,Paulo Oliverio F/S,Paulo Oliverio F/S,1691,
ERDF,,2012,PCS Ireland Ltd P/G,PCS Ireland Ltd P/G,16000,
ERDF,,2012,Start Your Own Business,Start Your Own Business,11443.78,
ERDF,,2012,Western Grave Products P/G,Western Grave Products P/G,7301,
ERDF,,2012,Woodstock Welding P/G,Woodstock Welding P/G,50000,
ERDF,,2012,Arthur McArdle,Arthur McArdle/PG,7500,
ERDF,,2012,Ciara Carolan,ADN Materials Limited/PG,70000,
ERDF,,2012,Enda Prendergast,Enda Prendergast/Feas,9660.73,
ERDF,,2012,Garth Sherry,Smartcow Ltd/Feas,15600.58,
ERDF,,2012,Glen Cruikshank,Glens Welding Services Ltd/BE,20000,
ERDF,,2012,Janet Coogan,Muckno Adventure/PG,6914.9,
ERDF,,2012,Joe Brennan,Castleprinting Ltd/BE,21448.5,
ERDF,,2012,Lorraine Martin,The Cake & Crumb/PG,10300,
ERDF,,2012,Michael Ward,Ward Engineering /BE,46100,
ERDF,,2012,Monaghan Co Ent Board,Accelerate/M2,20278.06,
ERDF,,2012,Monaghan County Enterprise Board,Patents/M2,608.48,
ERDF,,2012,Monaghan County Enterprise Board,Discovery Zone/M2,39610.75,
ERDF,,2012,Monaghan County Enterprise Board,Taxation & VAT/M2,7013.45,
ERDF,,2012,Monaghan County Enterprise Board,Craft Marketing/M2,5256.46,
ERDF,,2012,Monaghan County Enterprise Board,Cloud Computing/M2,8035.73,
ERDF,,2012,Monaghan County Enterprise Board,Cash-flow Management/M2,261.26,
ERDF,,2012,Monaghan County Enterprise Board,Getting Irish Business Online/M2,2117.49,
ERDF,,2012,Raimondas Pagojus,Aikra Ltd/PG,7411.77,
ERDF,,2012,Roisin McArdle,Roisin McArdle/PG,3933.74,
ERDF,,2012,Applied Concepts Limited,Applied Concepts Limited – FS,4800,
ERDF,,2012,Applied Concepts Limited,Applied Concepts Limited – BE,5890,
ERDF,,2012,Applied Concepts Limited,Applied Concepts Limited – BE,5104,
ERDF,,2012,Brendan Dooley,Brendan Dooley -BE,15640,
ERDF,,2012,Breweyed Limited,Breweyed Limited – BE,1440,
ERDF,,2012,Breweyed Limited,Breweyed Limited – BE,4292,
ERDF,,2012,"Corrigan Gaetani, T/a Ballyshiel Toffee","Corrigan Gaetani, T/a Ballyshiel Toffee – BE",3118,
ERDF,,2012,Decontamination Tech Services,Decontamination Tech Services Ltd – PG,4442,
ERDF,,2012,Dimedium Limited,Dimedium Limited – BE,14495,
ERDF,,2012,Euram Air Leases (Ire) Limited,Euram Air Leases (Ire) Ltd – BE,25000,
ERDF,,2012,Glanbury AMS Limited,Glanbury AMS Limited – BE,7993,
ERDF,,2012,Liada Bakery Limited,Liada Bakery Limited – BE,10000,
ERDF,,2012,Liada Bakery Limited,Liada Bakery Limited – BE,10000,
ERDF,,2012,Michael Leonard T/a Lentech Services,Michael Leonard T/a Lentech Services – PG,5000,
ERDF,,2012,Midland Brand Strategy & Design Limited,Midland Brand Strategy & Design Limited – PG,2029,
ERDF,,2012,Offaly CEB,New Business New Start 2012/M2,3272,
ERDF,,2012,Offaly CEB,13EnterpriseWeek/M2,3220.12,
ERDF,,2012,Offaly CEB,Birr Retail Programme 2012/M2,3100,
ERDF,,2012,Offaly CEB,Retail Programmes other towns/M2,2937.5,
ERDF,,2012,Offaly CEB,13 Enterprise Awards/M2,5912.17,
ERDF,,2012,Offaly CEB,Starting your own Business 2013/M2,25966,
ERDF,,2012,Offaly CEB,Small Business Accounts 2013/M2,8207.2,
ERDF,,2012,Offaly CEB,Retail Programmes 2013/M2,1250,
ERDF,,2012,Offaly CEb,Pinterest for Business 2013/M2,1286,
ERDF,,2012,Offaly CEB,Making your website work 2013/M2,820,
ERDF,,2012,Offaly CEB,Linkedin for Business 2013/M2,1280,
ERDF,,2012,Offaly CEB,Introduction to VAT 2013/M2,495,
ERDF,,2012,Offaly CEB,HowLeanCanTransformYourBusiness2013/M2,675.6,
ERDF,,2012,Offaly CEB,How Compliant is Your Business 2013/M2,350,
ERDF,,2012,Offaly CEb,Facebook for Business Beginners 2013/M2,3928,
ERDF,,2012,Offaly CEB,Facebook for Business Advanced 2013/M2,1958,
ERDF,,2012,Offaly CEB,Schools Enterprise Initiatives 2012/M2,19186.11,
ERDF,,2012,Offaly CEB,Business Idea Generation 2013/M2,372,
ERDF,,2012,Offaly CEB,Branding Clinic 2013/M2,600,
ERDF,,2012,Offaly CEB,Art of Management 2013/M2,825,
ERDF,,2012,Offaly CEB,Senior Enterprise 2012/M2,480,
ERDF,,2012,Offaly CEB,Coderdojo Project Birr/M2,4058,
ERDF,,2012,Offaly CEB,Tendering Clinic 2013/M2,650,
ERDF,,2012,Offaly CEB,Starting your own Business: The Essentials 2013/M2,898,
ERDF,,2012,Offaly CEB,13SchoolEnterpriseInitiatives/M2,18782.68,
ERDF,,2012,Offaly CEB,13FilmOffaly/M2,862,
ERDF,,2012,Offaly CEB,Seminars 2012/M2,1497.45,
ERDF,,2012,OffalyCEB,13Seminars/M2,4933.22,
ERDF,,2012,OffalyCEB,13SeniorEnterprise/M2,250,
ERDF,,2012,OffalyCEb,Library&PublicOfficeProject/M2,7634.68,
ERDF,,2012,OffalyCEB,Art of Effective Selling 2013/M2,6289.99,
ERDF,,2012,OffalyCEB,Costing&Pricing 2013/M2,2494,
ERDF,,2012,OffalyCEB,Enterprise Awards 2012/M2,9329.11,
ERDF,,2012,Paramount Conversions Limited,Paramount Conversions Limited – BE,24000,
ERDF,,2012,Paramount Conversions Limited,Paramount Conversions Limited – FS,7932,
ERDF,,2012,Premier Business Media,Premier Business Media – PG,30000,
ERDF,,2012,Premier Business Media,Premier Business Media Limited – PG,5000,
ERDF,,2012,Premier Business Media Limited,Premier Business Media Limited – PG,5000,
ERDF,,2012,Pyxis Black Limited,Pyxis Black Limited – PG,5000,
ERDF,,2012,Pyxis Black Limited,Pyxis Black Limited – PG,7332,
ERDF,,2012,Slipstream EDI Limited,Slipstream EDI Limited – PG,12500,
ERDF,,2012,Sprayfoam Limited,Sprayfoam Limited – BE,4512,
ERDF,,2012,"Stephen Dowling, T/a Bovigene","Stephen Dowling, T/a Bovigene – PG",4050,
ERDF,,2012,Castlemine Farms Ltd BE,Castlemine Farms Ltd BE,22450,
ERDF,,2012,Eoghan Kenny,Project 5- priming,10411,
ERDF,,2012,Family Life Centre Boyle,Family Life Centre Boyle,3136,
ERDF,,2012,FCDM Ltd BE,FCMD Ltd BE,30000,
ERDF,,2012,Margin Masters Ltd BP,Margin Masters Ltd BP,10000,
ERDF,,2012,Midland Precision Tool & Die Ltd BE,Midland Precision Tool and Die Ltd BE,65585,
ERDF,,2012,Noel mc Dermott,Curamach Strings Ltd- expansion,53289.5,
ERDF,,2012,Parklawn Tree Services Ltd BE,Park Lawn Tree Services Ltd BE,22500,
ERDF,,2012,Ropscommon CEB,Start your own business 2012 – M2,13617.35,
ERDF,,2012,Roscommon ceb,Enterprise promotion and Ros Bus network M2 2012,22118,
ERDF,,2012,Roscommon CEB,Sage Accounts M2,4600,
ERDF,,2012,Roscommon CEB,Social Media Marketing M2,19680,
ERDF,,2012,Roscommon CEB,Basic Bookeeping course M2,1200,
ERDF,,2012,Roscommon CEB,Student Enterprise Awards 2012,9883,
ERDF,,2012,Roscommon CEB,Branding and Logos M2 2012,3360,
ERDF,,2012,Roscommon CEB,Website Optimisation M2,1665,
ERDF,,2012,Roscommon CEB,website grants M2 2012,18582,
ERDF,,2012,Roscommon CEB,workshop on revenue audit M2,2100,
ERDF,,2012,Roscommon CEB,Mentoring M2 2012,20491,
ERDF,,2012,Roscommon CEB,Employment Law M2,2666,
ERDF,,2012,Roscommon CEB,How to get paid on time M2,1444,
ERDF,,2012,Roscommon CEB,Exhibitions/Seminars M2 2012,17269,
ERDF,,2012,Roscommon Chocolate Co Ltd BP,Roscommon Chocolate Co Ltd BP,10000,
ERDF,,2012,Roscommon County Enterprise Board,Joint Initatives M2 2012,19216.71,
ERDF,,2012,Roscommon County Enterprise Board,Safety training M2 2012,6592.5,
ERDF,,2012,Roscommon County Enterprise Board,Roswin/Nwed M2 2012,1919,
ERDF,,2012,Roscommon Enterprise Board,aftercare audits and consultancy work M2 2012,3293,
ERDF,,2012,Roscommon Enterprise Board,In house training M2 2012,18729.86,
ERDF,,2012,Roscommon Enterprise Board,Ideas generation workshop m2,500,
ERDF,,2012,Stephen Bohan,Margin Masters Ltd- expansion,3997.5,
ERDF,,2012,Topline Markings Ltd BE,topline markings ltd BE,2500,
ERDF,,2012,Tullyforge Ltd BE,Tullyforge Ltd BE,13375,
ERDF,,2012,Abbott Ireland Diagnostic Division,Abbott Ireland Diagnostic Division,214142,
ERDF,,2012,Abbott Ireland Nutrition Division,Abbott Ireland Nutrition Division,52797.24,
ERDF,,2012,Abbvie Ireland NL BV,Abbvie Ireland NL BV,22670,
ERDF,,2012,Ann Fox T/a Elizabeth Ann Collection,Ann Fox T/a Elizabeth Ann Collection / PR,10706,
ERDF,,2012,AOL Engineering Ltd.,AOL Engineering Ltd. / BE,7500,
ERDF,,2012,Brain Halpin,Brian Halpin / FS,1463,
ERDF,,2012,Connacht Gold Co-operative Society Ltd,Connacht Gold Co-operative Society Ltd,13162.47,
ERDF,,2012,Dawn Howard,Dawn Howard / PR,4908,
ERDF,,2012,"Deirdre Cunningham, T/a North West Adventure Centre",Deirdre Cunningham T/A North West Adventure Centre / BE,4377,
ERDF,,2012,Dental Laboratory Aids Ltd.,Dental Laboratory Aids Ltd. /PR,11361,
ERDF,,2012,Dermot O’Brien T/a D’s Your Dent Man,Dermot O’Brien T/a D’s Your Dent Man / PR,7500,
ERDF,,2012,Engineering Documentation Ltd.,Engineering Documentation Ltd. / BE,7500,
ERDF,,2012,Francesca Naylor,Francesca Naylor /FS,7307,
ERDF,,2012,Inland Inflateable Services Ltd.,Inland Inflateable Services Ltd. / BE,11886,
ERDF,,2012,John Flynn,John Flyyn / PR,6310,
ERDF,,2012,Kieran Roddy T/a The Food Experience,Kieran Roddy T/a The Food Experience / PR,30000,
ERDF,,2012,,,0,
ERDF,,2012,Lighthouse Learning Ltd.,Lighthouse Learning Ltd./PR,6568,
ERDF,,2012,Mowlam Healtcare Ltd,Mowlam Healtcare Ltd,71967.35,
ERDF,,2012,Opgham Engineering,Ogham Engineering / FS,4406.92,
ERDF,,2012,Quickcrop Ltd.,Quickcrop Ltd./BE,10454,
ERDF,,2012,Raymond McCullagh,Raymond McCullagh/ FS,1968,
ERDF,,2012,Ruedel Dental Laboratory,Ruedel Dental Laboratory Ltd. / BE,7500,
ERDF,,2012,Sligo County Enterprise Board,Using Twitter for Business 1 + 2 2012,625,
ERDF,,2012,Sligo County Enterprise Board,Making Your Web Site Work Harder 2012,811.38,
ERDF,,2012,Sligo County Enterprise Board,First Steps to Self Employment,881,
ERDF,,2012,Sligo County Enterprise Board,Write an Effective Marketing Plan 2012,934.5,
ERDF,,2012,Sligo County Enterprise Board,Business Website Review Clinics 2012,990,
ERDF,,2012,Sligo County Enterprise Board,Schools Programme 2012,13900.49,
ERDF,,2012,Sligo County Enterprise Board,National Enterprise Awards 2012,1107.83,
ERDF,,2012,Sligo County Enterprise Board,Trade Fairs 2012,5909.41,
ERDF,,2012,Sligo County Enterprise Board,Safety Statement 2012,4249,
ERDF,,2012,Sligo County Enterprise Board,Practical Sales & Marketing 2012,3466.25,
ERDF,,2012,Sligo County Enterprise Board,Tips & Techniques to develop your sales,1865.2,
ERDF,,2012,Sligo County Enterprise Board,Management Information Systems,11089,
ERDF,,2012,Sligo County Enterprise Board,Book Keeping & Taxation 2 2012,2042,
ERDF,,2012,Sligo County Enterprise Board,Book keeping & Taxation 1 012,2048,
ERDF,,2012,Sligo County Enterprise Board,SYOB 5 2012,4440,
ERDF,,2012,Sligo County Enterprise Board,SYOB 4 2012,4680,
ERDF,,2012,Sligo County Enterprise Board,SYOB 3 2012,4458,
ERDF,,2012,Sligo County Enterprise Board,SYOB 2 2012,4744.75,
ERDF,,2012,Sligo County Enterprise Board,SYOB 1 2012,4776,
ERDF,,2012,Sligo County Enterprise Board,Costing and Pricing 2 2012,1015,
ERDF,,2012,Sligo County Enterprise Board,Costing and Pricing 1 2012,1021,
ERDF,,2012,Sligo County Enterprise Board,Mentor Programme 2012,113430.51,
ERDF,,2012,Sligo County Enterprise Board,Understanding Drawings 2012,889,
ERDF,,2012,Sligo County Enterprise Board,How to Win Tenders,975,
ERDF,,2012,Sligo County Enterprise Board,Senior Entrepreneurs,1280,
ERDF,,2012,Sligo County Enterprise Board,Financial Management 2012,1627,
ERDF,,2012,Sligo County Enterprise Board,Promotions 2012,12899.53,
ERDF,,2012,Sligo County Enterprise Board,Sage 50 2012,4000,
ERDF,,2012,Sligo County Enterprise Board,Customer Services 2012,869,
ERDF,,2012,Sligo County Enterprise Board,Using Pinterest for Business 2012,350,
ERDF,,2012,Sligo County Enterprise Board,Getting Irish Business Online 1 + 2 2012,770,
ERDF,,2012,Sligo County Enterprise Board,Using Linkedin for Business 1 + 2 2012,789.03,
ERDF,,2012,Sligo County Enterprise Board,Facebook for Business Advanced 5 2012,746,
ERDF,,2012,Sligo County Enterprise Board,Facebook for Business Advanced 4 2012,644.5,
ERDF,,2012,Sligo County Enterprise Board,Facebook for Business Advanced 2 2012,911.38,
ERDF,,2012,Sligo County Enterprise Board,Facebook for Business Beginners 5 2012,643,
ERDF,,2012,Sligo County Enterprise Board,Facebook for Business Beginners 3 2012,700,
ERDF,,2012,Sligo County Enterprise Board,Facebook for Business Beginners 2 2012,911.38,
ERDF,,2012,Sligo County Enterprise Board,Facebook for Business Beginners 1 2012,811.38,
ERDF,,2012,Sligo County Enterprise Board,Women in Business 2012,19084.5,
ERDF,,2012,Sligo County Enterprise Board,Single Point of Contact 2012,575,
ERDF,,2012,Sligo County Enterprise Board,Training Support Grants 2012,7695,
ERDF,,2012,Sligo County Enterprise Board,Market Development Assistance 12,6988.5,
ERDF,,2012,Sligo Cunty Enterprise Board,Facebook for Business Advanced 3 2012,700,
ERDF,,2012,Source QA,Source QA/ PR,7693,
ERDF,,2012,Stultz Equestrian,Stultz Equestrian /PR,7500,
ERDF,,2012,The Book Nest Ltd.,"The Book Nest Ltd., / BE",12703,
ERDF,,2012,Total Packaging Solutions Ltd.,Total Packaging Solutions Ltd. / PR,16892,
ERDF,,2012,"WOBEGO Ltd.,",WOBEGO Ltd. /PR,3427,
ERDF,,2012,Sligo County Enterprise Board,Facebook for Business Beginners 4 2012,700,
ERDF,,2012,Advanced NDT Solutions Ltd,Advanced NDT Solutions Ltd C/O David Finegan & Mark Cassidy Priming,15000,
ERDF,,2012,Ambushed Paintball Ltd,Ambushed Paintball Ltd BE,3288.75,
ERDF,,2012,Andrew Gibson,Andrew Gibson PG,7500,
ERDF,,2012,Baleholt Ltd,Baleholt Ltd BE,2239.8,
ERDF,,2012,BCSD Energy Ltd,BCSD Energy Ltd FIG,5550.18,
ERDF,,2012,Bell Lane Coffee Ltd,Bell Lane Coffee LTD PG,15000,
ERDF,,2012,Brand U Image Consultancy LTD,Brand U Image Consultancy LTD FIG,3325,
ERDF,,2012,Castlepollard Fitness Centre Ltd,Castlepollard Fitness Centre Ltd. PG,15000,
ERDF,,2012,CM Online Digi-Marketing Ltd,CM Online Digi-Marketing Ltd PG,15000,
ERDF,,2012,Conger Enterprise Ltd,Conger Enterprises LTD FIG,12000,
ERDF,,2012,DG Ventures Ltd,DG Ventures Ltd BE,15000,
ERDF,,2012,Emer Dooley T/a the Beauty Institute,Emer Dooley T/A the Beauty Institute PG,7500,
ERDF,,2012,Freeze Free Solutions Ltd,Freeze Free Solutions Ltd FIG,19431.54,
ERDF,,2012,Gareth Hanlon,Gareth Hanlon PG,15000,
ERDF,,2012,Intersearch Holdings Ltd,Intersearch Holdings LTD BE,14346.5,
ERDF,,2012,Just Digital Ltd,Just Digital Ltd PG,15000,
ERDF,,2012,Katie McCay,Katie McCay PG,7444.23,
ERDF,,2012,KCI Manufacturing,KCI Manufacturing,68192.95,
ERDF,,2012,Lilliput Loaf Company Ltd,Lilliput Loaf Company Ltd PG,21162.2,
ERDF,,2012,Michael & Paul Briody,Michael & Paul Briody PG,35000,
ERDF,,2012,Ozone Consultancy Ltd,Ozone Consultancy LTd FIG,10000,
ERDF,,2012,Peter Molloy Molloy Shot Blasting & Powder Coating,Peter Molloy T/a Molloy Shot Blasting & Powder Coating BE,14201.31,
ERDF,,2012,Peter Montgomery,Peter Montgomery PG,7500,
ERDF,,2012,Rosaleen Coates,Rosaleen Coates PG,7500,
ERDF,,2012,RTP Supplies Ltd,RTP Supplies Ltd BE,7500,
ERDF,,2012,Sylvester Geoghegan,Sylvester Geoghegan BE,7500,
ERDF,,2011,Cavan CEB,M2/2011/Taxation & Financial Mgmt courses 2011,6468.93,
ERDF,,2011,Cavan CEB,M2/2011/Student Enterprise Initiatives 2011,32608.03,
ERDF,,2011,Cavan CEB,M2/2011/Start Your Own Business Courses 2011,43387.55,
ERDF,,2011,Cavan CEB,M2/2011/Social Media for small business 2011,4667.41,
ERDF,,2011,Cavan CEB,SAGE Introduction 2011,5810.03,
ERDF,,2011,Cavan CEB,M2/2011/Promotional Materials,661.9,
ERDF,,2011,Cavan CEB,M2/2011/Promoting & marketing Courses 2011,8895.47,
ERDF,,2011,Cavan CEB,M2/2011/Pre-enterprise workshops 2011,3384.83,
ERDF,,2011,Cavan CEB,National Enterprise Awards 2011,8387.69,
ERDF,,2011,Cavan CEB,Mentoring 2011,22072.37,
ERDF,,2011,Cavan CEB,How to investigate a Business Idea 2011,758.92,
ERDF,,2011,Cavan CEB,How to get paid on time 2011,580.52,
